"geneid","gene_name"
"1051","ENSG00000231436","RBMY3AP"
"1053","ENSG00000229208","RBMY2NP"
"1055","ENSG00000187657","TSPY13P"
"1057","ENSG00000238235","TSPY11P"
"1059","ENSG00000223744","RBMY2GP"
"1062","ENSG00000244395","RBMY1D"
"1064","ENSG00000242389","RBMY1E"
"1066","ENSG00000226092","RBMY2AP"
"1069","ENSG00000231159","OFD1P8Y"
"1071","ENSG00000232475","HSFY5P"
"1072","ENSG00000229553","USP9YP17"
"1073","ENSG00000228850","CDY12P"
"1074","ENSG00000232029","ELOCP15"
"1076","ENSG00000131548","TTTY6B"
"1077","ENSG00000169800","RBMY1F"
"1078","ENSG00000229159","TSPY23P"
"1079","ENSG00000225615","RBMY2UP"
"1080","ENSG00000229234","RBMY1KP"
"1081","ENSG00000215560","TTTY5"
"1082","ENSG00000229940","TSPY22P"
"1084","ENSG00000243040","RBMY2FP"
"1085","ENSG00000259247","TTTY25P"
"1086","ENSG00000237902","TSPY21P"
"1087","ENSG00000226941","RBMY1J"
"1090","ENSG00000278678","CYCSP41"
"1093","ENSG00000179381","OR4K11P"
"1098","ENSG00000280330","CTBP2P10"
"1099","ENSG00000234159","RBPMSLP"
"1100","ENSG00000229336","SREK1IP1P1"
"1101","ENSG00000224141","MIR548XHG"
"1103","ENSG00000233676","FDPSP6"
"1105","ENSG00000131538","TTTY6"
"1107","ENSG00000225735","NEK4P1"
"1109","ENSG00000234131","ELOCP8"
"1110","ENSG00000224873","CDY13P"
"1112","ENSG00000230814","USP9YP24"
"1113","ENSG00000198618","PPIAP22"
"1115","ENSG00000226818","SLC6A6P1"
"1116","ENSG00000279177","CTBP2P9"
"1117","ENSG00000228571","HSFY7P"
"1119","ENSG00000230476","OFD1P9Y"
"1120","ENSG00000231755","CHODL-AS1"
"1123","ENSG00000237569","TUBAP1"
"1125","ENSG00000154646","TMPRSS15"
"1126","ENSG00000224657","RBMY2BP"
"1129","ENSG00000290724","XKRY"
"1133","ENSG00000275592","VN1R7P"
"1134","ENSG00000233522","FAM224A"
"1135","ENSG00000219368","ZNF299P"
"1137","ENSG00000228184","SNX19P1"
"1140","ENSG00000273872","SLC25A15P4"
"1141","ENSG00000215326","GPX1P2"
"1144","ENSG00000154639","CXADR"
"1148","ENSG00000131007","TTTY9B"
"1152","ENSG00000290716","TTTY9A"
"1155","ENSG00000277282","IGHV1OR21-1"
"1156","ENSG00000215005","HSPD1P7"
"1157","ENSG00000231058","MSANTD2P1"
"1159","ENSG00000215353","C1QBPP1"
"1161","ENSG00000217026","RPL10P1"
"1162","ENSG00000238265","LINC00317"
"1168","ENSG00000224832","LINC01689"
"1174","ENSG00000234439","KRT18P2"
"1178","ENSG00000142207","URB1"
"1179","ENSG00000288512","C1R"
"1181","ENSG00000232263","KRTAP25-1"
"1183","ENSG00000279990","RPSAP68"
"1184","ENSG00000291444","RBMY3AP"
"1185","ENSG00000154721","JAM2"
"1186","ENSG00000291445","CDY3P"
"1187","ENSG00000291446","TSPY25P"
"1188","ENSG00000291447","USP9YP22"
